inventory_id,check_date,store_name,product_name,category,brand,stock_quantity
86,2025-11-27,Store_12,Universal analyzing matrices,Sports,Galloway-Wyatt,863
87,2025-11-26,Store_3,Cloned directional customer loyalty,Clothing,James Group,58
88,2025-11-23,Store_3,Reduced attitude-oriented flexibility,Sports,Abbott-Munoz,580
89,2025-11-26,Store_3,Focused national capacity,Sports,Arnold Ltd,424
90,2025-11-23,Store_16,Organic impactful toolset,Clothing,"Yang, Gardner and Garza",189
91,2025-11-24,Store_15,Horizontal stable infrastructure,Clothing,Galloway-Wyatt,218
92,2025-11-26,Store_20,Customizable zero administration capacity,Sports,Baker and Sons,648
93,2025-11-23,Store_3,Extended upward-trending policy,Electronics,"Gonzalez, Santos and Gardner",676
94,2025-11-27,Store_19,Multi-channeled fresh-thinking firmware,Clothing,Williams and Sons,160
95,2025-11-24,Store_18,Multi-lateral user-facing productivity,Beauty,"Ross, Robinson and Bright",161
96,2025-11-25,Store_9,Digitized full-range success,Electronics,"Yang, Gardner and Garza",425
97,2025-11-24,Store_7,Re-engineered zero-defect budgetary management,Beauty,"Mcclure, Ward and Lee",342
98,2025-11-27,Store_19,Expanded leadingedge conglomeration,Sports,Burton Ltd,412
99,2025-11-23,Store_6,Advanced incremental utilization,Home,"Ross, Robinson and Bright",87
100,2025-11-27,Store_8,Persistent leadingedge productivity,Home,"Adams, Zuniga and Wong",739
101,2025-11-23,Store_9,Synchronized didactic approach,Sports,Wagner Inc,65
102,2025-11-23,Store_2,Secured systematic knowledgebase,Home,Dudley Group,53
103,2025-11-24,Store_11,Realigned 4thgeneration encoding,Clothing,Burton Ltd,71
104,2025-11-24,Store_19,Seamless reciprocal success,Home,Gray-Mayo,990
105,2025-11-29,Store_2,Extended eco-centric initiative,Clothing,James Group,415
106,2025-11-26,Store_9,Realigned hybrid complexity,Sports,James Group,621
107,2025-11-29,Store_14,Business-focused transitional matrices,Electronics,"Ross, Robinson and Bright",335
108,2025-11-27,Store_17,Mandatory didactic open system,Home,"Mcclure, Ward and Lee",153
109,2025-11-28,Store_16,Customizable radical array,Home,"Yang, Gardner and Garza",857
110,2025-11-27,Store_6,Virtual stable toolset,Clothing,Blair PLC,410
111,2025-11-27,Store_2,Sharable optimal core,Sports,"Reid, Ferguson and Sanchez",897
112,2025-11-27,Store_17,Reactive cohesive model,Sports,Wilkerson-Day,112
113,2025-11-30,Store_11,Synergized non-volatile artificial intelligence,Home,"Snyder, Campos and Callahan",108
114,2025-11-25,Store_16,Profound uniform database,Sports,"Gonzalez, Santos and Gardner",812
115,2025-11-24,Store_10,Up-sized fresh-thinking access,Beauty,"Adams, Zuniga and Wong",847
116,2025-11-24,Store_13,Organic disintermediate process improvement,Electronics,Arnold Ltd,987
117,2025-11-23,Store_3,Profit-focused exuding monitoring,Beauty,James Group,687
118,2025-11-28,Store_12,Sharable fresh-thinking Graphical User Interface,Sports,Johnson and Sons,570
119,2025-11-25,Store_13,Advanced high-level alliance,Sports,"Walter, Edwards and Rios",561
120,2025-11-29,Store_11,Object-based multimedia capability,Electronics,Abbott-Munoz,277
121,2025-11-27,Store_3,Monitored bandwidth-monitored software,Home,"Snyder, Campos and Callahan",285
122,2025-11-25,Store_20,Cross-group empowering instruction set,Home,Wilkerson-Day,148
123,2025-11-29,Store_16,Devolved logistical middleware,Electronics,"Flowers, Martin and Kelly",551
124,2025-11-23,Store_12,Managed hybrid throughput,Electronics,Wagner Inc,336
125,2025-11-24,Store_8,Sharable incremental complexity,Sports,Perez Inc,524
126,2025-11-29,Store_6,Compatible methodical strategy,Sports,"Flowers, Martin and Kelly",258
127,2025-11-30,Store_2,Versatile hybrid complexity,Home,Cole LLC,260
128,2025-11-24,Store_14,Synergistic maximized structure,Beauty,Perez Inc,517
129,2025-11-24,Store_10,Enhanced fault-tolerant emulation,Clothing,"Ross, Robinson and Bright",928
130,2025-11-23,Store_15,Profit-focused bottom-line function,Sports,Perez Inc,551
131,2025-11-24,Store_15,Future-proofed high-level installation,Electronics,Johnson and Sons,439
132,2025-11-24,Store_9,Monitored attitude-oriented strategy,Clothing,Williams and Sons,368
133,2025-11-30,Store_5,Future-proofed optimizing portal,Clothing,Gray-Mayo,766
134,2025-11-30,Store_13,Organized global database,Sports,"Walter, Edwards and Rios",107
135,2025-11-23,Store_11,Streamlined 5thgeneration architecture,Home,"Gonzalez, Santos and Gardner",886
136,2025-11-30,Store_3,Implemented empowering info-mediaries,Home,Johnson and Sons,29
137,2025-11-30,Store_14,User-friendly didactic encryption,Electronics,Wagner Inc,704
138,2025-11-30,Store_12,Quality-focused empowering Graphic Interface,Electronics,Morales-Jones,760
139,2025-11-23,Store_1,Inverse executive groupware,Sports,Burton Ltd,484
140,2025-11-27,Store_6,Adaptive background capacity,Beauty,Blair PLC,997
141,2025-11-28,Store_12,Streamlined client-server challenge,Sports,Williams and Sons,105
142,2025-11-29,Store_16,Compatible reciprocal software,Sports,Baker and Sons,46
143,2025-11-29,Store_14,Programmable secondary middleware,Sports,Cole LLC,704
144,2025-11-24,Store_20,Innovative next generation attitude,Clothing,Baker and Sons,847
145,2025-11-25,Store_18,Expanded attitude-oriented capacity,Clothing,Blair PLC,600
146,2025-11-24,Store_9,Business-focused heuristic portal,Clothing,"Yang, Gardner and Garza",973
147,2025-11-25,Store_4,Fully-configurable analyzing neural-net,Home,Blake and Sons,463
148,2025-11-25,Store_12,Re-engineered multi-state process improvement,Beauty,James Group,547
149,2025-11-26,Store_7,Universal discrete algorithm,Sports,"Hoffman, Baker and Richards",474
150,2025-11-27,Store_2,Re-contextualized tangible collaboration,Beauty,Perez Inc,590
151,2025-11-24,Store_6,Streamlined contextually-based collaboration,Electronics,Arnold Ltd,607
152,2025-11-27,Store_10,Universal 6thgeneration concept,Sports,"Watts, Robinson and Nguyen",899
153,2025-11-29,Store_19,Universal fault-tolerant architecture,Beauty,"Ross, Robinson and Bright",552
154,2025-11-23,Store_3,Proactive interactive installation,Clothing,Perez Inc,792
155,2025-11-25,Store_11,Reverse-engineered leadingedge analyzer,Sports,Baker and Sons,132
156,2025-11-23,Store_18,Synergized impactful moderator,Clothing,Williams and Sons,98
157,2025-11-23,Store_18,Exclusive tangible neural-net,Beauty,Johnson and Sons,152
158,2025-11-28,Store_16,Diverse neutral concept,Electronics,Baker and Sons,71
159,2025-11-29,Store_6,Multi-tiered tertiary installation,Electronics,"Walter, Edwards and Rios",669
160,2025-11-29,Store_8,Organized explicit approach,Sports,Johnson and Sons,231
161,2025-11-28,Store_11,Synergized 3rdgeneration secured line,Beauty,Arnold Ltd,906
162,2025-11-24,Store_11,Adaptive radical protocol,Electronics,"Mcclure, Ward and Lee",448
163,2025-11-29,Store_3,Polarized mobile definition,Sports,Morales-Jones,423
164,2025-11-25,Store_19,Inverse system-worthy frame,Sports,"Snyder, Campos and Callahan",824
165,2025-11-28,Store_18,Reduced stable installation,Sports,Burton Ltd,894
166,2025-11-26,Store_13,Enterprise-wide high-level secured line,Electronics,Cole LLC,799
167,2025-11-28,Store_8,Right-sized grid-enabled parallelism,Sports,"Flowers, Martin and Kelly",499
168,2025-11-26,Store_5,Ameliorated upward-trending budgetary management,Electronics,Gray-Mayo,151
169,2025-11-25,Store_11,Digitized background data-warehouse,Home,Arnold Ltd,47
170,2025-11-23,Store_13,Multi-lateral full-range core,Beauty,Abbott-Munoz,18
171,2025-11-30,Store_18,Business-focused bottom-line complexity,Sports,"Hoffman, Baker and Richards",209
172,2025-11-30,Store_4,Mandatory directional extranet,Beauty,Burton Ltd,204
173,2025-11-27,Store_4,Synergized dedicated Internet solution,Electronics,Johnson and Sons,655
174,2025-11-23,Store_14,Upgradable empowering info-mediaries,Sports,Dudley Group,552
175,2025-11-27,Store_17,Optimized optimal definition,Home,Garcia-James,872
176,2025-11-26,Store_1,Persistent analyzing interface,Electronics,Abbott-Munoz,440
177,2025-11-23,Store_8,Phased scalable groupware,Home,"Hoffman, Baker and Richards",665
178,2025-11-29,Store_1,Optional exuding frame,Beauty,Gray-Mayo,713
179,2025-11-30,Store_2,Ameliorated demand-driven product,Sports,Abbott-Munoz,578
180,2025-11-26,Store_16,Cross-group encompassing migration,Home,Gray-Mayo,815
181,2025-11-23,Store_10,Enhanced contextually-based capability,Home,Galloway-Wyatt,904
182,2025-11-23,Store_11,Compatible regional superstructure,Beauty,"Hoffman, Baker and Richards",248
183,2025-11-23,Store_9,Fundamental full-range system engine,Sports,"Yang, Gardner and Garza",129
184,2025-11-30,Store_17,Total modular contingency,Beauty,"Yang, Gardner and Garza",163
185,2025-11-30,Store_14,Ameliorated grid-enabled hub,Home,Arnold Ltd,116
186,2025-11-26,Store_1,Intuitive discrete complexity,Electronics,Dudley Group,943
187,2025-11-23,Store_4,Cross-platform hybrid workforce,Beauty,"Adams, Zuniga and Wong",949
188,2025-11-28,Store_16,User-centric user-facing projection,Home,Blair PLC,493
189,2025-11-26,Store_18,Vision-oriented zero-defect neural-net,Beauty,Wilkerson-Day,0
190,2025-11-27,Store_6,Inverse heuristic functionalities,Sports,Blair PLC,24
191,2025-11-29,Store_6,Adaptive coherent info-mediaries,Beauty,Blake and Sons,513
192,2025-11-28,Store_1,Right-sized executive website,Sports,Blake and Sons,352
193,2025-11-28,Store_8,Multi-layered 24/7 help-desk,Clothing,"Yang, Gardner and Garza",379
194,2025-11-25,Store_18,Programmable demand-driven superstructure,Home,Wagner Inc,327
195,2025-11-28,Store_2,Object-based actuating Local Area Network,Electronics,"Henderson, Ramirez and Lewis",337
196,2025-11-25,Store_9,Diverse coherent open architecture,Sports,Wagner Inc,94
197,2025-11-30,Store_18,Profit-focused executive toolset,Beauty,James Group,688
198,2025-11-28,Store_1,Reduced object-oriented customer loyalty,Home,"Gonzalez, Santos and Gardner",213
199,2025-11-24,Store_17,Reduced coherent utilization,Home,Wagner Inc,525
200,2025-11-23,Store_12,Upgradable national productivity,Electronics,"Hoffman, Baker and Richards",296
201,2025-11-24,Store_5,Realigned upward-trending structure,Electronics,Morales-Jones,958
202,2025-11-23,Store_16,Universal incremental info-mediaries,Home,"Watts, Robinson and Nguyen",947
203,2025-11-23,Store_9,Profit-focused optimal moderator,Home,Wagner Inc,339
204,2025-11-29,Store_19,Advanced bandwidth-monitored algorithm,Beauty,Burton Ltd,857
205,2025-11-26,Store_7,Open-architected responsive service-desk,Clothing,James Group,416
206,2025-11-25,Store_13,Mandatory zero administration success,Beauty,"Reid, Ferguson and Sanchez",914
207,2025-11-27,Store_15,Enterprise-wide multi-tasking hardware,Clothing,"Flowers, Martin and Kelly",476
208,2025-11-26,Store_2,Horizontal fault-tolerant superstructure,Beauty,Burton Ltd,154
209,2025-11-28,Store_6,Exclusive 5thgeneration functionalities,Clothing,Gray-Mayo,49
210,2025-11-29,Store_2,Enhanced stable data-warehouse,Home,Williams and Sons,203
211,2025-11-29,Store_2,User-friendly interactive benchmark,Sports,Wagner Inc,152
212,2025-11-27,Store_4,Function-based well-modulated attitude,Clothing,James Group,210
213,2025-11-27,Store_20,Optional zero tolerance emulation,Electronics,Cole LLC,660
214,2025-11-28,Store_18,Streamlined leadingedge adapter,Electronics,"Reid, Ferguson and Sanchez",227
215,2025-11-29,Store_13,Persevering scalable complexity,Beauty,Blair PLC,890
216,2025-11-26,Store_14,Proactive empowering strategy,Home,"Henderson, Ramirez and Lewis",991
217,2025-11-29,Store_12,Devolved 4thgeneration analyzer,Clothing,Wagner Inc,673
218,2025-11-27,Store_11,Switchable scalable hardware,Beauty,Baker and Sons,286
219,2025-11-28,Store_14,Business-focused contextually-based projection,Beauty,Wilkerson-Day,120
220,2025-11-28,Store_2,Secured explicit website,Beauty,"Reid, Ferguson and Sanchez",327
221,2025-11-24,Store_10,Adaptive leadingedge open system,Sports,Morales-Jones,238
222,2025-11-24,Store_18,Seamless discrete portal,Sports,Gray-Mayo,563
223,2025-11-30,Store_14,Organic methodical superstructure,Clothing,Garcia-James,999
224,2025-11-23,Store_5,Realigned multimedia artificial intelligence,Clothing,"Yang, Gardner and Garza",287
225,2025-11-25,Store_7,Business-focused empowering migration,Clothing,"Hoffman, Baker and Richards",227
226,2025-11-26,Store_4,Multi-layered optimal attitude,Beauty,"Mcclure, Ward and Lee",4
227,2025-11-25,Store_11,Monitored zero administration policy,Electronics,Gray-Mayo,743
228,2025-11-25,Store_16,Assimilated user-facing help-desk,Electronics,Abbott-Munoz,5
229,2025-11-23,Store_10,Fundamental composite frame,Clothing,Wilkerson-Day,855
230,2025-11-29,Store_13,Realigned web-enabled knowledge user,Sports,"Flowers, Martin and Kelly",310
231,2025-11-30,Store_2,Programmable executive productivity,Sports,"Watts, Robinson and Nguyen",156
232,2025-11-29,Store_2,Balanced fault-tolerant benchmark,Clothing,Galloway-Wyatt,322
233,2025-11-30,Store_17,Visionary fault-tolerant methodology,Beauty,Williams and Sons,975
234,2025-11-29,Store_7,Customer-focused empowering ability,Sports,"Flowers, Martin and Kelly",29
235,2025-11-28,Store_7,Synergized multimedia system engine,Sports,"Henderson, Ramirez and Lewis",542
236,2025-11-23,Store_18,Programmable maximized matrix,Beauty,Cole LLC,206
237,2025-11-26,Store_2,Re-engineered well-modulated hardware,Beauty,Galloway-Wyatt,30
238,2025-11-24,Store_20,Compatible fresh-thinking standardization,Beauty,"Adams, Zuniga and Wong",173
239,2025-11-27,Store_15,Open-architected reciprocal parallelism,Sports,Johnson and Sons,646
240,2025-11-30,Store_12,Diverse client-driven parallelism,Electronics,"Flowers, Martin and Kelly",709
241,2025-11-29,Store_5,Customizable secondary customer loyalty,Electronics,"Yang, Gardner and Garza",576
242,2025-11-29,Store_7,Persevering responsive throughput,Sports,Galloway-Wyatt,540
243,2025-11-25,Store_17,Reduced 5thgeneration product,Electronics,"Snyder, Campos and Callahan",433
244,2025-11-29,Store_1,Cloned hybrid neural-net,Electronics,"Mcclure, Ward and Lee",793
245,2025-11-29,Store_17,Progressive executive service-desk,Beauty,Wagner Inc,896
246,2025-11-25,Store_16,Advanced fault-tolerant standardization,Beauty,Johnson and Sons,319
247,2025-11-25,Store_12,Polarized impactful solution,Clothing,"Adams, Zuniga and Wong",688
248,2025-11-27,Store_13,Front-line discrete access,Home,"Flowers, Martin and Kelly",951
249,2025-11-23,Store_14,Vision-oriented regional solution,Beauty,Wilkerson-Day,76
250,2025-11-30,Store_20,Reduced fault-tolerant leverage,Clothing,Blake and Sons,646
251,2025-11-27,Store_4,Vision-oriented secondary policy,Beauty,Gray-Mayo,805
252,2025-11-30,Store_20,Cross-platform fault-tolerant benchmark,Sports,"Yang, Gardner and Garza",222
253,2025-11-24,Store_2,Intuitive solution-oriented workforce,Beauty,Johnson and Sons,543
254,2025-11-26,Store_9,Re-engineered contextually-based throughput,Beauty,"Walter, Edwards and Rios",4
255,2025-11-28,Store_9,Profit-focused exuding challenge,Home,Burton Ltd,543
256,2025-11-30,Store_18,Persistent homogeneous matrix,Beauty,Johnson and Sons,966
257,2025-11-27,Store_18,Persevering even-keeled benchmark,Clothing,"Henderson, Ramirez and Lewis",261
258,2025-11-29,Store_11,Optional global encoding,Beauty,"Mcclure, Ward and Lee",939
259,2025-11-30,Store_5,Vision-oriented leadingedge focus group,Sports,Johnson and Sons,187
260,2025-11-24,Store_7,Open-source user-facing implementation,Electronics,Perez Inc,516
261,2025-11-23,Store_14,Virtual leadingedge open architecture,Sports,"Walter, Edwards and Rios",744
262,2025-11-29,Store_10,Mandatory intangible database,Electronics,Dudley Group,944
263,2025-11-30,Store_10,Synergized leadingedge attitude,Clothing,"Watts, Robinson and Nguyen",24
264,2025-11-30,Store_18,Multi-tiered explicit encoding,Electronics,"Hoffman, Baker and Richards",719
265,2025-11-26,Store_15,Object-based asymmetric projection,Beauty,Blake and Sons,944
266,2025-11-28,Store_8,Triple-buffered bifurcated attitude,Sports,"Gonzalez, Santos and Gardner",129
267,2025-11-29,Store_17,Open-architected multi-state hub,Beauty,James Group,23
268,2025-11-27,Store_3,Reverse-engineered holistic challenge,Home,Baker and Sons,977
269,2025-11-28,Store_16,Integrated asynchronous methodology,Beauty,"Watts, Robinson and Nguyen",100
270,2025-11-26,Store_15,Decentralized intermediate model,Clothing,Morales-Jones,79
271,2025-11-27,Store_6,Proactive exuding matrix,Electronics,"Hoffman, Baker and Richards",489
272,2025-11-28,Store_13,Reactive cohesive functionalities,Clothing,Abbott-Munoz,492
273,2025-11-27,Store_9,Open-source scalable encryption,Clothing,"Henderson, Ramirez and Lewis",855
274,2025-11-24,Store_16,Future-proofed upward-trending support,Beauty,Blake and Sons,460
275,2025-11-26,Store_2,Expanded context-sensitive Graphic Interface,Home,"Watts, Robinson and Nguyen",884
276,2025-11-30,Store_14,Cross-group 24/7 capability,Sports,Cole LLC,32
277,2025-11-27,Store_1,Configurable 4thgeneration concept,Sports,"Flowers, Martin and Kelly",280
278,2025-11-29,Store_9,Switchable next generation model,Electronics,Wilkerson-Day,117
279,2025-11-28,Store_15,Exclusive system-worthy capability,Sports,Blair PLC,416
280,2025-11-29,Store_5,Future-proofed object-oriented secured line,Electronics,Gray-Mayo,629
281,2025-11-30,Store_17,Visionary asymmetric flexibility,Home,"Hoffman, Baker and Richards",437
282,2025-11-28,Store_5,Compatible actuating artificial intelligence,Home,"Snyder, Campos and Callahan",351
283,2025-11-27,Store_5,Cross-group user-facing capacity,Home,Dudley Group,575
284,2025-11-29,Store_13,Balanced attitude-oriented project,Sports,Blake and Sons,624
285,2025-11-25,Store_19,Persevering fault-tolerant Local Area Network,Beauty,Johnson and Sons,474
286,2025-11-25,Store_5,Fundamental tangible open architecture,Sports,James Group,630
287,2025-11-27,Store_2,Cross-group foreground software,Sports,Perez Inc,24
288,2025-11-24,Store_11,Phased non-volatile Internet solution,Home,"Gonzalez, Santos and Gardner",233
289,2025-11-25,Store_15,Cross-platform optimizing workforce,Clothing,"Adams, Zuniga and Wong",416
290,2025-11-26,Store_8,Grass-roots clear-thinking core,Beauty,Cole LLC,822
291,2025-11-26,Store_18,Vision-oriented motivating approach,Beauty,"Flowers, Martin and Kelly",399
292,2025-11-25,Store_5,Enterprise-wide user-facing architecture,Home,"Watts, Robinson and Nguyen",902
293,2025-11-27,Store_14,Enhanced eco-centric Graphic Interface,Beauty,"Walter, Edwards and Rios",431
294,2025-11-25,Store_19,Team-oriented national collaboration,Sports,"Snyder, Campos and Callahan",441
295,2025-11-24,Store_2,Fundamental zero-defect matrices,Clothing,Arnold Ltd,411
296,2025-11-28,Store_16,User-friendly 24/7 migration,Home,"Watts, Robinson and Nguyen",567
297,2025-11-23,Store_18,Assimilated value-added methodology,Home,"Henderson, Ramirez and Lewis",502
298,2025-11-24,Store_10,Balanced optimal contingency,Beauty,Blake and Sons,420
299,2025-11-25,Store_16,Persistent multi-state project,Clothing,"Watts, Robinson and Nguyen",374
300,2025-11-23,Store_13,Multi-lateral local flexibility,Electronics,Johnson and Sons,747
301,2025-11-24,Store_5,Upgradable content-based installation,Sports,Williams and Sons,882
302,2025-11-27,Store_13,Team-oriented executive complexity,Electronics,"Reid, Ferguson and Sanchez",818
303,2025-11-29,Store_3,Managed even-keeled conglomeration,Home,Gray-Mayo,801
304,2025-11-23,Store_19,Synergistic fault-tolerant service-desk,Electronics,"Yang, Gardner and Garza",48
305,2025-11-24,Store_14,Persistent analyzing conglomeration,Sports,Arnold Ltd,854
306,2025-11-28,Store_10,Networked regional benchmark,Home,Blair PLC,957
307,2025-11-26,Store_2,Self-enabling foreground utilization,Electronics,"Gonzalez, Santos and Gardner",485
308,2025-11-27,Store_13,Switchable explicit initiative,Clothing,"Watts, Robinson and Nguyen",752
309,2025-11-30,Store_10,Open-architected intermediate portal,Clothing,Baker and Sons,841
310,2025-11-23,Store_11,Self-enabling clear-thinking ability,Clothing,"Hoffman, Baker and Richards",731
311,2025-11-25,Store_11,Polarized zero-defect standardization,Beauty,"Reid, Ferguson and Sanchez",518
312,2025-11-30,Store_7,Enhanced object-oriented knowledgebase,Electronics,James Group,792
313,2025-11-26,Store_6,Distributed clear-thinking toolset,Electronics,Williams and Sons,406
314,2025-11-28,Store_13,Versatile zero-defect encoding,Beauty,"Snyder, Campos and Callahan",108
315,2025-11-23,Store_15,Total bifurcated success,Electronics,"Watts, Robinson and Nguyen",544
316,2025-11-29,Store_3,Programmable secondary intranet,Electronics,"Hoffman, Baker and Richards",506
